iter	Passed	Remaining
471	720	805
472	721	803
473	722	802
474	724	800
475	725	798
476	727	797
477	728	795
478	729	793
479	731	791
480	732	790
481	733	788
482	735	786
483	736	785
484	737	783
485	739	781
486	740	780
487	741	778
488	743	776
489	744	775
490	746	773
491	747	771
492	748	770
493	750	768
494	751	766
495	753	765
496	754	763
497	756	762
498	757	760
499	759	759
500	760	757
501	761	755
502	763	754
503	764	752
504	766	750
505	767	749
506	768	747
507	770	746
508	771	744
509	773	742
510	774	741
511	776	739
512	777	738
513	779	736
514	780	735
515	781	733
516	783	731
517	784	730
518	786	728
519	787	727
520	789	725
521	790	724
522	792	722
523	793	721
524	795	719
525	796	717
526	798	716
527	799	714
528	800	713
529	802	711
530	803	709
531	805	708
532	806	706
533	808	705
534	809	703
535	811	702
536	812	700
537	813	698
538	815	697
539	816	695
540	818	694
541	819	692
542	821	691
543	822	689
544	824	688
545	825	686
546	827	684
547	828	683
548	829	681
549	831	680
550	832	678
551	834	677
552	835	675
553	837	673
554	838	672
555	840	670
556	841	669
557	842	667
558	844	666
559	845	664
560	847	662
561	848	661
562	849	659
563	851	658
564	852	656
565	854	655
566	855	653
567	857	652
568	858	650
569	860	648
570	861	647
571	863	645
572	864	644
573	866	642
574	867	641
575	868	639
576	870	638
577	871	636
578	873	634
579	874	633
580	876	631
581	877	630
582	878	628
583	880	627
584	881	625
585	883	623
586	884	622
587	886	620
588	887	619
589	888	617
590	890	616
591	891	614
592	893	613
593	894	611
594	896	609
595	897	608
596	899	606
597	900	605
598	901	603
599	903	602
600	904	600
601	906	599
602	907	597
603	909	595
604	910	594
605	911	592
606	913	591
607	914	589
608	916	588
609	917	586
610	919	585
611	920	583
612	921	582
613	923	580
614	924	578
615	926	577
616	927	575
617	928	574
618	930	572
619	931	571
620	933	569
621	934	567
622	935	566
623	937	564
624	938	563
625	940	561
626	941	560
627	943	558
628	944	557
629	945	555
630	947	554
631	948	552
632	950	550
633	951	549
634	953	547
635	954	546
636	955	544
637	957	543
638	958	541
639	960	540
640	961	538
641	963	537
642	964	535
643	965	533
644	967	532
645	968	530
646	970	529
647	971	527
648	973	526
649	974	524
650	975	523
651	977	521
652	978	520
653	980	518
654	981	517
655	983	515
656	984	514
657	986	512
658	987	511
659	989	509
660	990	507
661	991	506
662	993	504
663	994	503
664	996	501
665	997	500
666	999	498
667	1000	497
668	1001	495
669	1003	494
670	1004	492
671	1006	491
672	1007	489
673	1008	487
674	1010	486
675	1011	484
676	1012	483
677	1014	481
678	1015	480
679	1017	478
680	1018	477
681	1019	475
682	1021	474
683	1022	472
684	1024	471
685	1025	469
686	1027	468
687	1028	466
688	1030	464
689	1031	463
690	1032	461
691	1034	460
692	1035	458
693	1037	457
694	1038	455
695	1040	454
696	1041	452
697	1042	451
698	1044	449
699	1045	448
700	1047	446
701	1048	445
702	1049	443
703	1051	441
704	1052	440
705	1053	438
706	1055	437
707	1056	435
708	1057	434
709	1059	432
710	1060	431
711	1061	429
712	1063	427
713	1064	426
714	1066	424
715	1067	423
716	1068	421
717	1070	420
718	1071	418
719	1073	417
720	1074	415
721	1075	414
722	1077	412
723	1078	411
724	1080	409
725	1081	408
726	1082	406
727	1084	405
728	1085	403
729	1086	402
730	1088	400
731	1089	398
732	1091	397
733	1092	395
734	1093	394
735	1095	392
736	1096	391
737	1097	389
738	1099	388
739	1100	386
740	1101	385
741	1103	383
742	1104	382
743	1105	380
744	1107	379
745	1108	377
746	1110	375
747	1111	374
748	1112	372
749	1114	371
750	1115	369
751	1117	368
752	1118	366
753	1119	365
754	1121	363
755	1122	362
756	1123	360
757	1125	359
758	1126	357
759	1127	356
760	1129	354
761	1130	353
762	1132	351
763	1133	350
764	1134	348
765	1136	347
766	1137	345
767	1138	344
768	1140	342
769	1141	340
770	1142	339
771	1144	337
772	1145	336
773	1146	334
774	1148	333
775	1149	331
776	1151	330
777	1152	328
778	1153	327
779	1155	325
780	1156	324
781	1157	322
782	1159	321
783	1160	319
784	1162	318
785	1163	316
786	1164	315
787	1166	313
788	1167	312
789	1168	310
790	1170	309
791	1171	307
792	1172	306
793	1174	304
794	1175	303
795	1176	301
796	1178	300
797	1179	298
798	1180	297
799	1182	295
800	1183	294
801	1184	292
802	1186	291
803	1187	289
804	1189	288
805	1190	286
806	1191	284
807	1193	283
808	1194	282
809	1195	280
810	1197	278
811	1198	277
812	1199	275
813	1201	274
814	1202	272
815	1203	271
816	1205	269
817	1206	268
818	1207	266
819	1209	265
820	1210	263
821	1211	262
822	1212	260
823	1214	259
824	1215	257
825	1216	256
826	1218	254
827	1219	253
828	1221	251
829	1222	250
830	1223	248
831	1225	247
832	1226	245
833	1227	244
834	1229	242
835	1230	241
836	1232	239
837	1233	238
838	1234	236
839	1236	235
840	1237	233
841	1238	232
842	1240	230
843	1241	229
844	1242	227
845	1244	226
846	1245	224
847	1246	223
848	1248	221
849	1249	220
850	1250	219
851	1252	217
852	1253	216
853	1254	214
854	1256	213
855	1257	211
856	1259	210
857	1260	208
858	1261	207
859	1263	205
860	1264	204
861	1265	202
862	1267	201
863	1268	199
864	1270	198
865	1271	196
866	1272	195
867	1274	193
868	1275	192
869	1276	190
870	1278	189
871	1279	187
872	1281	186
873	1282	184
874	1283	183
875	1285	181
876	1286	180
877	1288	178
878	1289	177
879	1290	176
880	1292	174
881	1293	173
882	1294	171
883	1295	170
884	1297	168
885	1298	167
886	1300	165
887	1301	164
888	1302	162
889	1304	161
890	1305	159
891	1306	158
892	1308	156
893	1309	155
894	1310	153
895	1312	152
896	1313	150
897	1315	149
898	1316	147
899	1317	146
900	1319	144
901	1320	143
902	1321	141
903	1323	140
904	1324	139
905	1325	137
906	1327	136
907	1328	134
908	1329	133
909	1331	131
910	1332	130
911	1333	128
912	1335	127
913	1336	125
914	1338	124
915	1339	122
916	1340	121
917	1342	119
918	1343	118
919	1344	116
920	1346	115
921	1347	114
922	1348	112
923	1350	111
924	1351	109
925	1353	108
926	1354	106
927	1355	105
928	1357	103
929	1358	102
930	1359	100
931	1361	99
932	1362	97
933	1363	96
934	1365	94
935	1366	93
936	1368	91
937	1369	90
938	1370	89
939	1372	87
940	1373	86
941	1374	84
942	1376	83
943	1377	81
944	1379	80
945	1380	78
946	1381	77
947	1383	75
948	1384	74
949	1385	72
950	1387	71
951	1388	70
952	1389	68
953	1391	67
954	1392	65
955	1393	64
956	1395	62
957	1396	61
958	1397	59
959	1399	58
960	1400	56
961	1402	55
962	1403	53
963	1404	52
964	1406	51
965	1407	49
966	1409	48
967	1410	46
968	1411	45
969	1413	43
970	1414	42
971	1415	40
972	1417	39
973	1418	37
974	1420	36
975	1421	34
976	1422	33
977	1424	32
978	1425	30
979	1427	29
980	1428	27
981	1429	26
982	1431	24
983	1432	23
984	1433	21
985	1435	20
986	1436	18
987	1437	17
988	1439	16
989	1440	14
990	1441	13
991	1443	11
992	1444	10
993	1445	8
994	1447	7
995	1448	5
996	1449	4
997	1451	2
998	1452	1
999	1454	0
